boothNum,workLifeBalanceRating,recommendToFriendRating,industryName,seniorLeadershipRating,ratingDescription,careerOpportunitiesRating,sectorName,website,compensationAndBenefitsRating,cultureAndValuesRating,overallRating,isEEP,name,industry,numberOfRatings
"2601, 3546",3.2,60,Enterprise Software & Network Solutions,3.0,OK,3.2,Information Technology,www.marketo.com,4.0,3.1,3.4,False,Marketo,Enterprise Software & Network Solutions,185
2835,4.0,76,TV Broadcast & Cable Networks,3.2,Satisfied,3.1,Media,www.hbo.com,4.0,3.9,3.8,False,HBO,TV Broadcast & Cable Networks,334
1109,3.9,88,Colleges & Universities,3.4,Very Satisfied,3.6,Education,www.brown.edu,3.4,4.0,4.2,False,Brown University,Colleges & Universities,303
"2121, 3623",3.4,65,"Department, Clothing, & Shoe Stores",3.0,Satisfied,3.2,Retail,www.gapinc.com,3.4,3.8,3.5,False,Gap Inc.,"Department, Clothing, & Shoe Stores",266
2834A,3.9,83,Computer Hardware & Software,3.5,Satisfied,3.8,Information Technology,www.redhat.jobs,3.7,4.1,4.0,False,Red Hat,Computer Hardware & Software,728
2941A,3.9,88,Colleges & Universities,3.6,Very Satisfied,3.7,Education,www.uwaterloo.ca,3.4,3.9,4.1,False,University of Waterloo,Colleges & Universities,407
"1709, 3201, 3203, 3205, 3207, 3209, 3211, 3213, 3215",3.8,77,Banks & Credit Unions,3.3,Satisfied,3.4,Finance,jobs.capitalone.com,3.9,3.9,3.7,True,Capital One,Banks & Credit Unions,3913
1532,4.2,100,K-12 Education,4.4,Very Satisfied,4.1,Education,www.khanacademy.org,4.1,4.8,4.6,False,Khan Academy,K-12 Education,20
"1934, 3550",4.1,80,Education Training Services,4.1,Satisfied,4.1,Education,www.girlswhocode.com,3.6,4.4,4.0,False,Girls Who Code,Education Training Services,35
2642,3.7,85,Colleges & Universities,3.2,Satisfied,3.2,Education,www.csuchico.edu,3.1,3.7,3.8,False,CSU Chico,Colleges & Universities,87
"1613, 3830, 3832, 3834",3.9,89,"Hotels, Motels, & Resorts",3.9,Very Satisfied,4.0,Travel & Tourism,www.airbnb.com,4.1,4.4,4.3,False,Airbnb,"Hotels, Motels, & Resorts",421
926,3.7,65,Enterprise Software & Network Solutions,2.9,OK,3.2,Information Technology,www.oracle.com,3.1,3.2,3.4,True,Oracle,Enterprise Software & Network Solutions,12246
"2621, 3921",3.3,76,Consumer Electronics & Appliances Stores,3.2,Satisfied,3.3,Retail,www.bestbuy.com,3.3,3.7,3.6,True,Best Buy,Consumer Electronics & Appliances Stores,12228
1025,3.7,78,Colleges & Universities,3.5,Satisfied,3.5,Education,www.uhsa.uh.edu,3.3,3.9,4.0,False,University of Houston,Colleges & Universities,747
2735,4.2,90,Computer Hardware & Software,4.3,Very Satisfied,4.4,Information Technology,www.hubspot.com,4.3,4.6,4.5,True,HubSpot,Computer Hardware & Software,358
2807,4.6,100,Colleges & Universities,3.8,Very Satisfied,3.6,Education,www.hpi.uni-potsdam.de,3.5,4.1,4.6,False,Hasso-Plattner-Institute,Colleges & Universities,19
